start,end,ID
2340.433333,2460.433333,1
2490.433333,2576.4,2
2689.4,2809.4,3
2839.4,2953.233333,4
2983.233333,3062.233333,5
3150.733333,3270.733333,6
3348.766667,3468.766667,7
3498.766667,3560.333333,8
3590.333333,3665.266667,9
3706.233333,3826.233333,10
3856.233333,3940.766667,11
3970.766667,4039.133333,12
4069.133333,4140.233333,13
4170.233333,4231.933333,14
4309.233333,4429.233333,15
4459.233333,4528.266667,16
4558.266667,4595.466667,17
4730.7,4850.7,18
4880.7,4968.3,19
5011.266667,5131.266667,20
5161.266667,5228.3,21
6214.433333,6334.433333,22
6364.433333,6417.233333,23
6447.233333,6548.9,24
6581.433333,6701.433333,25
6751.7,6871.7,26
6901.7,6964.366667,27
7012.666667,7132.666667,28
7162.666667,7254.466667,29
7284.466667,7391.2,30
7453.933333,7573.933333,31
7603.933333,7671.933333,32
7701.933333,7783.866667,33
7887.4,8007.4,34
8056.9,8176.9,35
8206.9,8258.5,36
8288.5,8325.2,37
9844.766667,9964.766667,38
9994.766667,10089.76667,39
10119.76667,10196.76667,40
10226.76667,10328.3,41
10358.3,10423.33333,42
10453.56667,10573.56667,43
10603.56667,10682.36667,44
10712.36667,10735.1,45
10765.1,10880.4,46
10910.4,10961.33333,47
10991.33333,11084.93333,48
11114.93333,11224.86667,49
11254.86667,11292.6,50
11322.6,11419.3,51
11449.3,11553.9,52
11621.9,11741.9,53
11771.9,11886.3,54
11916.3,11997.86667,55
12027.86667,12107.36667,56
14053.46667,14173.46667,57
14203.46667,14291.9,58
14399.23333,14519.23333,59
14560.86667,14612.23333,60
14688.73333,14808.73333,61
14838.73333,14957.7,62
15039.26667,15159.26667,63
15248.26667,15368.26667,64
15464.96667,15584.96667,65
15614.96667,15704.6,66
15734.6,15818.43333,67
15848.43333,15966.16667,68
16096.26667,16216.26667,69
16246.26667,16339.7,70
16369.7,16461.7,71
16602.43333,16722.43333,72
16752.43333,16819.76667,73
17811.96667,17931.96667,74
17961.96667,18036.03333,75
18201.4,18321.4,76
18380.73333,18500.73333,77
18530.73333,18646.13333,78
18676.13333,18795.86667,79
18825.86667,18886.36667,80
19027.86667,19147.86667,81
19177.86667,19270.43333,82
19419.4,19539.4,83
19569.4,19636.36667,84
19666.36667,19748.4,85
19778.4,19883.4,86
20076.86667,20196.86667,87
20226.86667,20320.63333,88
20350.63333,20433.1,89
20516.66667,20636.66667,90
20666.66667,20780.36667,91
20824.5,20944.5,92
20974.5,21091.43333,93
21121.43333,21192.46667,94
21222.46667,21263.13333,95
23123.66667,23243.66667,96
23273.66667,23335.13333,97
23365.13333,23479.53333,98
23509.53333,23605.46667,99
23635.46667,23694.13333,100
23724.13333,23753.4,101
23783.4,23825.96667,102
24103.96667,24223.96667,103
24253.96667,24302.2,104
24332.2,24437.73333,105
24480.83333,24600.83333,106
24630.83333,24650.93333,107
24680.93333,24754.73333,108
25222.73333,25342.73333,109
25372.73333,25429.7,110
25459.7,25555.16667,111
